relative_path	bytes	sha256
benchmarks/exports/avalanche_octane_large_lstm_block300_quartile_joined.csv	105274	2b36cd01fc1b588baf982c9a8687963a0804765d1be909c016b1b9fc149d029c
benchmarks/exports/avalanche_octane_large_lstm_block_count_quartile_joined.csv	106968	5e4d897e62de7f289582bf54a0ae928bb8b1813e3e0f2e38366616a821c06b88
benchmarks/exports/avalanche_octane_large_lstm_edge_case_lstm_36s_joined.csv	125254	bb03e17af52dec461e0541587be9d4c7cfd5359810260177809e2d5935c80a91
benchmarks/exports/avalanche_octane_large_lstm_wall_clock_quartile_joined.csv	96009	36ad5569aa8da16de5a12933ff4cfd6f7727f03f6b98c1add64d40c0b4edb972
benchmarks/exports/delay_degradation_completed_artifact_ml_metrics_through_120s.csv	50510	82e621bd6c629c6bbc60567eaf9a274266d0818fa5602a3955d345ed5f075e59
benchmarks/exports/delay_degradation_completed_evals_merged.csv	40389	32e784d798fe2d7608a7181b352eb2157fe062b11f48d48b80cbe8d25dbaa3b4
benchmarks/exports/delay_degradation_completed_evals_through_120s.csv	22458	b4fd93ef0a294fe91c8f2983debb16f0dc0a5b644c105927232e45a3756fca3e
benchmarks/exports/delay_degradation_completed_ml_metrics_merged.csv	76765	7b7168dbe98a89de5e872299b30650681ff2b89c703a76345b2fba295bd41fcd
benchmarks/exports/delay_degradation_completed_train_ml_metrics_through_120s.csv	22873	1a07763da9f30a5f34738fb7b0e82d37c89df946795c5b4d53a3660403849aa6
benchmarks/exports/edge_case_baseline_36s_evals_merged.csv	22128	0d2b4984444cb298a84a522de515207da03f56b7331942e6380336aa0a703c7d
benchmarks/exports/ethereum_pectra_edge_case_ci_by_class.csv	3082	bca5511ac416cfb51f1948c35f2c622284ff5909e7a560504fcc3f35f020619a
benchmarks/exports/ethereum_pectra_edge_case_ci_by_model_window.csv	5683	0fc4c7b01d17df5216cf7c17cbde28a5b70169810bacab5cc6d5681972f6b2e5
benchmarks/exports/ethereum_pectra_edge_case_ci_by_window.csv	1832	c749c3838a9a39c3e47fe8a3715c8f0bd23c03503f41815e59afffaa8c1aea38
benchmarks/exports/ethereum_pectra_edge_case_fee_scatter_summary.csv	3140	dbd219d07395b300e5abcbc8e94d390875601d2e3c7f01f40c785e5aa75315b1
benchmarks/exports/ethereum_pectra_jun20_edge_case_lstm_36s_4h_plus_joined.csv	126121	446400a3ddbf4648778b7931b6a5e1975aea18eeea3497264d2179f3e4610862
benchmarks/exports/ethereum_pectra_jun20_edge_case_lstm_36s_4h_plus_results.csv	106094	2272619d312537c0fe7fd37478e9bb55eb13c9ec2506248c2af241c650361e16
benchmarks/exports/ethereum_pectra_jun20_edge_case_lstm_36s_4h_plus_summary.csv	848	c99f05460b75f53e7ab326a928f93c9528378d853fad7d160c751b3a84f90a0c
benchmarks/exports/ethereum_pectra_jun20_lstm_block300_quartile_joined.csv	103915	3503f6f93fc130981af2fe160a6ac8ec5595a9bcd888f78b030680140b907045
benchmarks/exports/ethereum_pectra_jun20_lstm_block_count_quartile_joined.csv	105489	e21420972dee5349ecd0fb5a75a6559f028ad372b330ca7cabd6c76bf791f12a
benchmarks/exports/ethereum_pectra_jun20_lstm_wall_clock_quartile_joined.csv	93822	24c729b79f313faaa93767495c8a4b3b919a8636d5d72341d1a3a0c52c68a9fc
benchmarks/exports/evaluation_window_scans/avalanche_congestion_candidates.csv	5213	be54e8c9a2d8a8caefe991a2687608174b533f922160dbacf61050c9655277b2
benchmarks/exports/evaluation_window_scans/avalanche_high_fee_candidates.csv	5211	0b3fa379d357c8c30b4edbdedbd9638b7d0233bf3b09153be777a75de8f6b7e4
benchmarks/exports/evaluation_window_scans/avalanche_high_vol_candidates.csv	5155	ff82c4f383ca064aa7887e4677ba01ccfcb0ffd8b64d490ea00c96fbec96241c
benchmarks/exports/evaluation_window_scans/avalanche_hourly.csv	2693475	203947108f248522506c5d604796b653ea825676c5d2b6221999c08091ffcf52
benchmarks/exports/evaluation_window_scans/avalanche_hourly.parquet	808113	dd056a342f5afc7216564a6b8195154107f7cbd468b66303240a423095b44a59
benchmarks/exports/evaluation_window_scans/avalanche_low_fee_candidates.csv	5113	9c7d1c0bf7bcc0a6e6eaaa6b19980a71b0914bd1ecb8506bc189ba9c4e0c5630
benchmarks/exports/evaluation_window_scans/avalanche_low_vol_candidates.csv	5109	4a85bec852854be9d2442cfe2a2dab899fb6a31b9528329e34d63334e82b1377
